Lead Investigator Name,Lead Investigator Organization Name
"Martinez,Jessica A",Cancer Center Division
"Weterings,Eric",Cancer Center Division
"Raghunand,Natarajan",Cancer Center Division
"Breidenbach III,Warren C",Surgery
"Weinstein,Ronald S",Arizona Telemedicine Program
"Burgoon,Judee K",Ctr for Mgmt of Information
"Gunatilaka,Leslie",Sch of Nat Resource&Enviro-Res
"Pater,Susan E",Cochise County Office
"Gniady,Christopher",Computer Science
"Fink,Wolfgang",Electrical and Computer Engr
"Strausfeld,Nicholas J",Neuroscience
"Sethuraman,Sunder",Mathematics
"Deymier,Pierre A",Materials Science & Engr
"Nichols,Shaun B",Philosophy
"Nadel,Lynn",Psychology
"Hamill Skoch,Sarah K",Psychiatry
"Milward,Hendree Brinton",School of Govt & Public Policy
"Robey,Ian F",Asthma/Airway Disease Rsch Ctr
"Sprinkle,Jonathan",Electrical and Computer Engr
"Alexander,Gene E",Psychology
"Astroth,Kirk A",Extension Programs
"Collberg,Christian S",Computer Science
"Najafi,Bijan",Surgery
"Liao,Haitao",Systems and Industrial Engr
"Jacob,Abraham",Surgery
"Martinez,Jesse D",Cancer Center Division
"Denton,M Bonner",Chemistry & Biochemistry - Sci
"Jessen,Poul S",James C Wyant Coll Optical Sci
"Megdal,Sharon B",Water Resources Rsch Ctr-Res
"Morrison,Clayton T",Sch of Info: Sci Tech & Arts
"Mouneimne,Ghassan",Cellular & Molecular Medicine
"Abrell,Leif M",Environmental Science-Res
"Witte,Marlys H",Surgery
"Breiger,Ronald L",Sociology
"Marcellin,Michael W",Electrical and Computer Engr
"Guerriero Jr,Vincent",Animal&Biomedical Sciences-Res
"Surdeanu,Mihai",Sch of Info: Sci Tech & Arts
"Mainhagu,Jon",Environmental Science-Res
"Khanna,Rajesh",Pharmacology
"Pelletier,Jon D",Geosciences
"Killgore,William",Psychiatry
"Sternberg,Esther M",Andrew Weil Ctr Intgrtv Med
"Jacobs,Jeffrey W",Aerospace & Mechanical Engr
"Gu,Jian",COM Phx NanoBioscience & Med
"Meuillet,Emmanuelle J",Nutritional Sci Wellness - RES
"Brooks,Heddwen L",Physiology
"Bao,Shaowen",Physiology
"Zeng,Xubin",Institute Atmospheric Physics
"Larmonier,Nicolas",Pediatrics
"Bever,Thomas G",Linguistics
"Kraft,Andrew",Cancer Center Division
"Ramirez,Monica D",Environmental Science-Res
"Thomas,Kelland K",School of Information
"Koshel,Richard J",James C Wyant Coll Optical Sci
"Walker,Christopher K",Steward Observatory
"Wygnanski,Israel J",Aerospace & Mechanical Engr
"Surdeanu,Mihai",Computer Science
"Chavez-Pirson,Arturo",James C Wyant Coll Optical Sci
"Cohen,Paul R",School of Information
"Nelson,Mark A",Pathology and Lab Medicine
"Makino,Ayako",Physiology
"Garfin,Gregg M",AZ Inst for Resilience
"Lega,Joceline C",Mathematics
"Dokken,Betsy B",Medicine
"Witte,Russell S",Medical Imaging
"Morzfeld,Matthias",Mathematics
"Zhong,Hua",Environmental Science-Res
"Chavarria,Sara P",Teachg Learning Sociocult Stds
"Valdes,Juan B",Hydrology and Water Resources
"Sun,Daekyu",Pharmacology and Toxicology
"Morrison,Clayton T",School of Information
"Valdes,Juan B",Hydrology & Atmospheric Sci
"Renquist,Benjamin J",Animal&Biomedical Sciences-Res
"Kieu,Khanh Q",James C Wyant Coll Optical Sci
"Brown,Susan A",Management Information Systems
"Mcguire,Luke A",Geosciences
"Sierra Alvarez,Maria Reyes",Chemical & Environmental Engr
"Cummins,Kenneth L",Hydrology & Atmospheric Sci
"Zaritsky,Dennis F",Steward Observatory
"Zhupanska,Olesya",Aerospace & Mechanical Engr
"Miranti,Cynthia",Cellular & Molecular Medicine
"Culver,Melanie",Sch of Nat Resource&Enviro-Res
"Jorgensen,Miriam R",Udall Center
"Joseph,Bellal A",Surgery
"Zakaria,El Rasheid",Surgery
"Schaibley,John R",Physics
"Alkozei,Anna",Psychiatry
"Castro,Christopher L",Hydrology & Atmospheric Sci
"Apel,Mark B",Cochise County Office
"Hart,Michael",James C Wyant Coll Optical Sci
"Furenlid,Lars R",James C Wyant Coll Optical Sci
"Dontsova,Katerina M",Environmental Science-Res
"Hassan,Mohammed Tharwat",Physics
"Duca,Frank Anthony",Animal&Biomedical Sciences-Res
"Denno,Jason R",College of Applied Sci & Tech
"Achilli,Andrea",Chemical & Environmental Engr
"Pearce,Eric C",Steward Observatory
"Arabyan,Ara",Engineering Academic Affairs
"Hamm,Keaton",Mathematics
"Levin,Brandon",Mathematics
"Enquist,Brian J",Ecology & Evolutionary Biology
"Rodgers,Kathleen E",Senior VP Health Sciences
"Gaffney,Kevin J",Pharmacology
"Yao,Guang",Molecular and Cellular Biology
"Furfaro,Roberto",Defense & Security Rsch Inst
"Guo,Bo",Hydrology & Atmospheric Sci
"Carini,Paul",Environmental Science-Res
"Chertkov,Michael",Mathematics
"Behrangi,Ali",Hydrology & Atmospheric Sci
"Osorio Zago,Francisco Javier",School of Govt & Public Policy
"Lopez,Elise C",Social & Behavioral Sci Admin
"Kupinski,Meredith Kathryn",James C Wyant Coll Optical Sci
"Dong,Xiquan",Hydrology & Atmospheric Sci
"Ballouz,Ronald",Lunar and Planetary Laboratory
"Ratcliff,Erin L",Materials Science & Engr
"Arnold,Anne E",School of Plant Sciences-Res
"Kingsley,Jeffrey S",Steward Observatory
"Chorover,Jonathan D",Environmental Science-Res
"Su,Tsu-Te Judith",James C Wyant Coll Optical Sci
"Montfort,William R",Chemistry & Biochemistry - Sci
"Shiri,Sonia",Sch Middle E/N African Studies
"Hosmer,Chester",College of Applied Sci & Tech
"Fallahi,Mahmoud",James C Wyant Coll Optical Sci
"Ratcliff,Erin L",Chemical & Environmental Engr
"Guha,Saikat",James C Wyant Coll Optical Sci
"Elliott-Engel,Jeremy",Agric Extension Administration
"Taylor,Daniel",Psychology
"Kerschen,Edward J",Aerospace & Mechanical Engr
"Brady,David",James C Wyant Coll Optical Sci
"Brady,Anthony John Ray",Electrical and Computer Engr
"MacLean,Evan",Vet Med Administration
"Fan,Linran",James C Wyant Coll Optical Sci
"Driggers,Ronald G",James C Wyant Coll Optical Sci
"Honomichl,Robert J",College of Applied Sci & Tech
"Lee,Grace",Pharmacology
"Adhikari,Srikar R",Dept of Emergency Medicine
"Wilson,Dalziel",James C Wyant Coll Optical Sci
"Norwood,Robert A",James C Wyant Coll Optical Sci
"Kim,Hee Jeong",Civil Arch Engr and Mechanics
"Rodgers,Kathleen E",UAHS Brain Science
"Austin,Diane E",Bur of Applied Rsch in Anthro
"Keswani,Manish K",Materials Science & Engr
"Sternberg,Ben K",Materials Science & Engr
"Mehl,Matthias R",Psychology
"Liu,Jian",Systems and Industrial Engr
"Roveda,Janet Meiling",Electrical and Computer Engr
"Tumin,Anatoli",Aerospace & Mechanical Engr
"Hao,Qing",Aerospace & Mechanical Engr
"Swinteck,Nichlas Z",Materials Science & Engr
"Gangopadhyay,Palash",James C Wyant Coll Optical Sci
"Gaylor,David",Aerospace & Mechanical Engr
"Jah,Moriba K",Engineering Academic Affairs
"Zhang,Zheshen",Materials Science & Engr
"Furfaro,Roberto",Systems and Industrial Engr
"Zhuang,Quntao",Electrical and Computer Engr
"Runge,Keith A",Materials Science & Engr
"Diao,Wenhao",Center for East Asian Studies
"Zhu,Xiushan",James C Wyant Coll Optical Sci
"Kaneda,Yushi",James C Wyant Coll Optical Sci
"Rozenblit,Jerzy W",Electrical and Computer Engr
"Ashok,Amit",James C Wyant Coll Optical Sci
"Sinha,Kanupriya",James C Wyant Coll Optical Sci
"Akoglu,Ali",Electrical and Computer Engr
"Soh,Daniel",James C Wyant Coll Optical Sci
"Fan,Neng",Systems and Industrial Engr
"Tandon,Ravi",Electrical and Computer Engr
"Thangavelautham,Jekan",Aerospace & Mechanical Engr
"Su,Tsu-Te Judith",Biomedical Engineering
"Craig,Stuart",Aerospace & Mechanical Engr
"Latypov,Marat",Materials Science & Engr
"Eichenfield,Matthew",James C Wyant Coll Optical Sci
"Rengaswamy,Narayanan",Electrical and Computer Engr
"Willomitzer,Florian H",James C Wyant Coll Optical Sci
"Mcleod,Euan",James C Wyant Coll Optical Sci
"Krokhmal,Pavlo",Systems and Industrial Engr
"Gutruf,Philipp",Biomedical Engineering
"Monti Masel,Oliver L A",Chemistry & Biochemistry - Sci
"Lucas,Pierre",Materials Science & Engr
"Cheng,Jianqiang",Systems and Industrial Engr
"Blanche,Pierre Alexandre",James C Wyant Coll Optical Sci
"Runyon II,Johnny Ray",Environmental Science-Res
"Hazeli,Kavan",Aerospace & Mechanical Engr
"Yurkiv,Vitaliy",Aerospace & Mechanical Engr
"Butcher,Eric",Aerospace & Mechanical Engr
"Seyler,Kyle",James C Wyant Coll Optical Sci
"Karanikola,Vasiliki",Chemical & Environmental Engr
"Efrat,Alon",Computer Science
"Oren,Eyal",Epidemiology and Biostatistics
"Nazareth,Craig",College of Applied Sci & Tech
"Guzman,Felipe",James C Wyant Coll Optical Sci
"Hennessey,Noel",Engineering Academic Affairs
"Braithwaite,Alex R",School of Govt & Public Policy
"Nurullayev,Dmitriy",College of Applied Sci & Tech
"Beilstein,Mark A",School of Plant Sciences-Res
"Pyarelal,Adarsh",School of Information
"Sun,Belinda",Pathology and Lab Medicine
"Navratilova,Edita",Pharmacology
"Ooi,Aikseng",Pharmacology and Toxicology
"Worrell,Stephanie G",Surgery
"Cai,Minying",Chemistry & Biochemistry - Sci
"Hastings,Karen Taraszka",COM Phx Dermatology
"Riall,Taylor S",Surgery
"Heimark,Ronald L",Surgery
"Warfel,Noel Andrew",Cellular & Molecular Medicine
"Cress,Anne E",Cellular & Molecular Medicine
"O'Haire,Marguerite",Vet Med Administration
"LaVigne,Justin Edward",Pharmacology
"Kim,Hee-Dae",COM Phx Basic Medical Sci
"Liu,Chen-wei",COM Phx Basic Medical Sci
"Kopruszinski,Caroline",Pharmacology
"Stern,Jennifer H",Medicine
"Huskey,Alisa",Psychiatry
"Kruer,Michael C",COM Phx Child Health
"Porreca,Frank",Pharmacology
"Kiela,Pawel R",Pediatrics
"Ghishan,Fayez K",Pediatrics
"Banek,Christopher T",Physiology
"Zavros,Yana",Cellular & Molecular Medicine
"Spaite,Daniel W",COM Phx Emergency Med Rsch Ctr
"Cherrington,Nathan J",Pharmacology and Toxicology
"Schnellmann,Rick G",Pharmacology and Toxicology
"Scholpa,Natalie",Pharmacology and Toxicology
"Thomas,Theresa C",COM Phx Child Health
"Funk,Janet L",Medicine
"Tassin,Tara Charisse",Sarver Heart Center
"Kundu,Anirban",Urology
"Wang,Lei",Pharmacology and Toxicology
"Wondrak,Georg T",Pharmacology and Toxicology
"Wang,Wei",Pharmacology and Toxicology
"Arellano,Christopher",Orthopedic Surgery
"Churko,Jared",Cellular & Molecular Medicine
"Chignalia,Andreia Zago",Anesthesiology
"Li,Hongmin",Pharmacology and Toxicology
"Kim,Minkyu",Materials Science & Engr
"MacLean,Evan",School of Anthropology
"Armstrong,Neal R",Chemistry & Biochemistry - Sci
"Bredas,Jean-Luc E",Chemistry & Biochemistry - Sci
"Wessman,Andrew",Materials Science & Engr
"Jain,Ravinder",James C Wyant Coll Optical Sci
"Wertheim,Jason A",Surgery
"Sullivan,Sylvia",Chemical & Environmental Engr
"Elkabbash,Mohamed",James C Wyant Coll Optical Sci
"Hanquist,Kyle",Aerospace & Mechanical Engr
"Wagner,Paul E",College of Applied Sci & Tech
"Jewkes,Thomas A",College of Applied Sci & Tech
"Salado Diez,Alejandro",Systems and Industrial Engr
"Frantziskonis,George N",Civil Arch Engr and Mechanics
"Fellous,Jean-Marc",Psychology
"Song,Shang",Biomedical Engineering
"Wilson,Robert C",Psychology
"Smith,William Kolby",Sch of Nat Resource&Enviro-Res
"Hurley,Laurence",Pharmacology and Toxicology
"Polt,Robin L",Chemistry & Biochemistry - Sci
"Wu,Xiaoyi",Aerospace & Mechanical Engr
"Hale,Taben",COM Phx Basic Medical Sci
"Mansour,Heidi",Pharmacy Practice and Science
"Mcdermott,Kimberly M",Cancer Center Division
"Oliva,Isabel B",Medical Imaging
"Chambers,Setsuko K",Cancer Center Division
"Runyan,Raymond B",Cellular & Molecular Medicine
"Ignatenko,Natalia",Cancer Center Division
"Vaillancourt,Richard R",Pharmacology and Toxicology
"Gmitro,Arthur F",Medical Imaging
"Jacob,Abraham",Otolaryngology
"Rouse,Andrew R",Medical Imaging
"Warfel,Noel Andrew",Cancer Center Division
"Li,Hong Yu",Pharmacology and Toxicology
"Singh,Parminder",Cancer Center Division
"Madhavan,Lalitha",Neurology
"Nfonsam,Valentine N",Surgery
"Patel,Hitendra",Cancer Center Division
"Lussier,Yves A",BIO5 Institute
"Qiu,Shenfeng",COM Phx Basic Medical Sci
"Futscher,Bernard W",Pharmacology and Toxicology
"Rodgers,Kathleen E",Pharmacology
"Kittles,Rick A",Surgery
"Vagner,Josef",BIO5 Institute
"Hastings,Karen Taraszka",COM Phx Basic Medical Sci
"Azorsa,David O",COM Phx Child Health
"Boitano,Scott A",Asthma/Airway Disease Rsch Ctr
"Hecker,Louise",Medicine
"Ledford,Julie",Asthma/Airway Disease Rsch Ctr
"Schnellmann,Rick G",Pharmacy Administration
"Batai,Ken",Surgery
"Gmitro,Arthur F",Biomedical Engineering
"Lee,Benjamin R",Surgery
"Reyes Reyes,Elsa M",Medicine
"Singh,Neha",Cancer Center Division
"Rowe,Rachel K",COM Phx Child Health
"Wang,Jun",Pharmacology and Toxicology
"Grandner,Michael",Psychiatry
"Parthasarathy,Sairam",Medicine
"Falk,Torsten",Neurology
"Szivek,John A",Orthopedic Surgery
"Margolis,David Stephen",Orthopedic Surgery
"Ammanamanchi,Sudhakar",COM Phx Internal Medicine
"Sharma,Shalini",COM Phx Basic Medical Sci
"Colson,Brett",Cellular & Molecular Medicine
"Lacombe,Jerome",COM Phx NanoBioscience & Med
"Berghout,Joanne",Medicine
"Ramos,Kenneth",Senior VP Health Sciences
"Okumura,Koichi",Cancer Center Division
"Neumayer,Leigh A",Surgery
"Walker,Jessica Anne",Speech Language & Hearing Sci
"Batai,Ken",Urology
"Nawrocki,Steffan",Medicine
"Sweasy,Joann",Cancer Center Division
"Curiel,Clara N",Medicine
"Crane,Tracy E",College of Nursing
"Hernandez-Cortes,Daniel",Cellular & Molecular Medicine
"Bajaj,Sahil",Psychiatry
"Satterfield,Brieann",Psychiatry
"Dailey,Natalie S",Psychiatry
"Raikes,Adam C",Psychiatry
"Combs,Daniel A",Pediatrics
"Van Dyke,Mark E",Biomedical Engineering
"Lifshitz,Jonathan",COM Phx Child Health
"Khanna,May",Pharmacology
"Romanoski,Casey E",Asthma/Airway Disease Rsch Ctr
"Sutphin,George L",Molecular and Cellular Biology
"Algotar,Amit M",Family and Community Medicine
"Gelmann,Edward P",Cancer Center Division
"Hulme,Christopher",Pharmacology and Toxicology
"Katsanis,Emmanuel",Pediatrics
"Purdy,John G",Immunobiology
"Lewis,Sara A",COM Phx Child Health
"Verhougstraete,Marc",Community Environment & Policy
"De Souza,Joao Luis Carvalho",Anesthesiology
"Chalasani,Pavani",Cancer Center Division
"Pu,Jeffrey J",Cancer Center Division
"Gregorio,Carol C",Cellular & Molecular Medicine
"Hammer,Michael F",BIO5 Institute
"Lu,Jianqin",Pharmacology and Toxicology
"Sawyer,Travis William",James C Wyant Coll Optical Sci
"Carew,Jennifer S",Medicine
"Lee,Won Hee",COM Phx Basic Medical Sci
"Persich,Michelle",Psychiatry
"Ibrahim,Mohab M",Anesthesiology
"Gladysheva,Inna P",COM Phx Internal Medicine
"Laksari,Kaveh",Biomedical Engineering
"Hutchinson,Elizabeth B",Biomedical Engineering
"Gaffney,Kevin J",UAHS Brain Science
"Kalin,Tatiana",COM Phx Child Health
"Gelmann,Edward P",Medicine
"Pandey,Ritu",Cellular & Molecular Medicine
"Milnes,Tally M",Pharmacology
"Gurtner,Geoffrey C",Surgery
"Craig,Zelieann R",Animal&Biomedical Sciences-Res
"Eggers,Erika D",Physiology
"Li,Ming",Electrical and Computer Engr
"Goeltl,Florian",Biosystems Engineering-Res
"Bash,Boulat",Electrical and Computer Engr
"Zhang,Liang",School of Information
"Valacich,Joseph S",Management Information Systems
"Johnson,Michael D L",Immunobiology
"Gomez,Charles Jonathan",Sociology
"Leib,Susan",Gem and Mineral Museum
"Rastgoftar,Hossein",Aerospace & Mechanical Engr
"Gagatsos,Christos",Materials Science & Engr
"Bheemasetti,Tejo",Civil Arch Engr and Mechanics
"Revil Baudard,Benoit",Materials Science & Engr
"Gagatsos,Christos",Electrical and Computer Engr
"Muralidharan,Krishna",Materials Science & Engr
"Shafae,Mohammed",Systems and Industrial Engr
"Steidl,Robert J",Sch of Nat Resource&Enviro-Res
"Martinez,Cathy L",Agric Extension Administration
"Kesner,Todd D",Agric Extension Administration
"Males,Jared R",Steward Observatory
"Shkarayev,Sergey V",Aerospace & Mechanical Engr
"Reddy Kanupuru,Vishnu V",Space 4 Center
"Threadgill,James",Aerospace & Mechanical Engr
"Riley,Dean",Mining & Geological Engr
"Hahn,David W",Aerospace & Mechanical Engr
"Diaz Ordonez,Daniel",Aerospace & Mechanical Engr
"Tin,Sammy",Materials Science & Engr
"Bose,Tamal",Electrical and Computer Engr
"Ziolkowski,Richard W",Electrical and Computer Engr
"Tubaldi,Eleonora",Aerospace & Mechanical Engr
"Reverdy,Paul",Aerospace & Mechanical Engr
"Rosengren,Aaron J",Aerospace & Mechanical Engr
"Pacheco,Jason",Computer Science
"Chalifoux,Brandon D",James C Wyant Coll Optical Sci
"Jun,Kwang-Sung",Computer Science
"Yan,Xiaodong",Materials Science & Engr
"Yazdandoost Hamedani,Erfan",Systems and Industrial Engr
"Savagatrup,Suchol",Chemical & Environmental Engr
